date,item_name,category,quantity,sales_amount,cost,profit,cost_per_unit
2025-02-11,Notebook,Books,3,161.44,119.09,42.35,39.7
2025-02-11,Pencil,Writing,1,5.44,4.27,1.17,4.27
2025-02-11,Tape,Accessories,1,37.83,25.34,12.49,25.34
2025-02-11,Folder,Storage,5,233.76,168.13,65.62,33.63
2025-02-11,Highlighter,Writing,2,63.08,49.57,13.51,24.78
2025-02-12,Marker,Writing,5,170.18,122.42,47.75,24.48
2025-02-12,Pencil,Writing,1,5.08,3.75,1.32,3.75
2025-02-12,Tape,Accessories,4,110.09,81.33,28.76,20.33
2025-02-12,Folder,Storage,4,256.01,194.05,61.96,48.51
2025-02-12,Paper Pack,Paper,1,247.26,174.06,73.2,174.06
2025-02-12,Highlighter,Writing,2,38.78,27.74,11.04,13.87
2025-02-13,Notebook,Books,4,226.78,151.3,75.48,37.82
2025-02-13,Pencil,Writing,3,15.19,11.83,3.36,3.94
2025-02-13,Folder,Storage,1,50.3,41.05,9.25,41.05
2025-02-13,Paper Pack,Paper,4,873.35,665.82,207.53,166.45
2025-02-14,Notebook,Books,2,118.96,89.14,29.82,44.57
2025-02-14,Pencil,Writing,4,21.73,16.74,4.98,4.19
2025-02-14,Paper Pack,Paper,4,894.1,642.82,251.28,160.71
2025-02-14,Highlighter,Writing,5,127.32,86.51,40.82,17.3
2025-02-15,Pen,Writing,5,51.58,37.57,14.01,7.51
2025-02-15,Notebook,Books,5,249.07,184.53,64.54,36.91
2025-02-15,Marker,Writing,1,23.46,15.65,7.8,15.65
2025-02-15,Pencil,Writing,5,52.82,37.09,15.74,7.42
2025-02-15,Stapler,Accessories,5,896.91,600.3,296.61,120.06
2025-02-15,Tape,Accessories,5,201.58,138.51,63.07,27.7
2025-02-15,Folder,Storage,2,115.27,77.84,37.43,38.92
2025-02-15,Highlighter,Writing,2,57.56,38.45,19.11,19.23
2025-02-16,Pen,Writing,3,25.2,19.43,5.77,6.48
2025-02-16,Marker,Writing,5,128.93,97.24,31.69,19.45
2025-02-16,Pencil,Writing,5,20.47,17.04,3.43,3.41
2025-02-16,Stapler,Accessories,4,686.61,568.25,118.36,142.06
2025-02-16,Tape,Accessories,3,119.84,87.94,31.9,29.31
2025-02-16,Folder,Storage,2,118.61,93.02,25.59,46.51
2025-02-16,Paper Pack,Paper,3,529.77,390.49,139.28,130.16
2025-02-17,Pen,Writing,5,52.92,36.43,16.49,7.29
2025-02-17,Notebook,Books,3,208.94,147.37,61.57,49.12
2025-02-17,Pencil,Writing,3,26.81,20.93,5.89,6.98
2025-02-17,Eraser,Writing,2,6.18,4.15,2.03,2.08
2025-02-17,Folder,Storage,2,127.62,95.76,31.86,47.88
2025-02-17,Paper Pack,Paper,1,221.89,172.82,49.08,172.82
2025-02-18,Notebook,Books,5,271.35,212.94,58.41,42.59
2025-02-18,Marker,Writing,5,109.43,84.01,25.42,16.8
2025-02-18,Pencil,Writing,1,6.81,4.56,2.25,4.56
2025-02-18,Eraser,Writing,2,12.37,8.58,3.79,4.29
2025-02-18,Stapler,Accessories,5,747.04,539.48,207.57,107.9
2025-02-18,Folder,Storage,2,109.82,81.29,28.53,40.65
2025-02-19,Pen,Writing,2,14.12,10.27,3.86,5.13
2025-02-19,Marker,Writing,2,58.46,47.2,11.26,23.6
2025-02-19,Paper Pack,Paper,5,772.27,627.74,144.53,125.55
2025-02-19,Highlighter,Writing,3,75.22,57.82,17.4,19.27
2025-02-20,Notebook,Books,2,88.68,61.4,27.28,30.7
2025-02-20,Marker,Writing,4,132.5,101.57,30.93,25.39
2025-02-20,Eraser,Writing,1,5.67,4.41,1.26,4.41
2025-02-20,Stapler,Accessories,1,164.45,119.8,44.66,119.8
2025-02-20,Folder,Storage,1,57.83,44.41,13.42,44.41
2025-02-21,Pen,Writing,5,55.31,43.5,11.81,8.7
2025-02-21,Notebook,Books,1,65.39,45.16,20.23,45.16
2025-02-21,Marker,Writing,3,60.19,49.5,10.69,16.5
2025-02-21,Stapler,Accessories,4,870.34,586.02,284.33,146.5
2025-02-21,Tape,Accessories,5,150.74,109.17,41.56,21.83
2025-02-21,Folder,Storage,5,314.87,219.05,95.83,43.81
2025-02-21,Highlighter,Writing,2,73.78,49.23,24.55,24.61
2025-02-22,Pen,Writing,3,36.96,28.32,8.64,9.44
2025-02-22,Notebook,Books,4,293.94,202.56,91.37,50.64
2025-02-22,Eraser,Writing,2,9.36,6.38,2.98,3.19
2025-02-22,Stapler,Accessories,5,642.82,429.69,213.12,85.94
2025-02-22,Tape,Accessories,1,47.8,37.61,10.19,37.61
2025-02-22,Paper Pack,Paper,4,735.52,600.4,135.12,150.1
2025-02-23,Pen,Writing,3,24.33,18.73,5.6,6.24
2025-02-23,Notebook,Books,5,203.37,151.7,51.67,30.34
2025-02-23,Marker,Writing,4,153.41,106.03,47.38,26.51
2025-02-23,Stapler,Accessories,1,136.6,106.24,30.35,106.24
2025-02-23,Folder,Storage,2,75.45,50.61,24.85,25.3
2025-02-23,Paper Pack,Paper,5,912.08,617.36,294.72,123.47
2025-02-24,Pen,Writing,3,40.08,29.54,10.54,9.85
2025-02-24,Pencil,Writing,5,42.64,32.42,10.22,6.48
2025-02-24,Folder,Storage,4,143.96,110.68,33.28,27.67
2025-02-24,Paper Pack,Paper,4,820.67,628.38,192.29,157.1
2025-02-24,Highlighter,Writing,4,78.75,61.62,17.13,15.41
2025-02-25,Pen,Writing,1,8.47,6.4,2.07,6.4
2025-02-25,Marker,Writing,5,207.35,143.32,64.03,28.66
2025-02-25,Tape,Accessories,2,77.55,62.06,15.48,31.03
2025-02-25,Folder,Storage,1,55.35,37.01,18.34,37.01
2025-02-25,Paper Pack,Paper,2,448.7,300.94,147.76,150.47
2025-02-26,Notebook,Books,3,122.87,102.05,20.83,34.02
2025-02-26,Marker,Writing,4,163.15,108.77,54.38,27.19
2025-02-26,Eraser,Writing,5,29.82,20.89,8.92,4.18
2025-02-26,Stapler,Accessories,5,690.84,557.69,133.15,111.54
2025-02-26,Paper Pack,Paper,1,219.21,180.56,38.65,180.56
2025-02-26,Highlighter,Writing,2,46.93,34.94,11.98,17.47
2025-02-27,Notebook,Books,1,63.7,46.56,17.15,46.56
2025-02-27,Pencil,Writing,5,43.05,30.51,12.55,6.1
2025-02-27,Eraser,Writing,4,27.32,19.77,7.56,4.94
2025-02-27,Tape,Accessories,3,149.04,114.25,34.79,38.08
2025-02-27,Folder,Storage,4,176.14,129.8,46.35,32.45
2025-02-28,Pen,Writing,1,9.53,7.46,2.07,7.46
2025-02-28,Notebook,Books,2,126.83,97.25,29.59,48.62
2025-02-28,Marker,Writing,3,68.24,55.81,12.43,18.6
2025-02-28,Pencil,Writing,3,15.43,11.08,4.35,3.69
2025-02-28,Eraser,Writing,1,6.3,4.69,1.6,4.69
2025-02-28,Tape,Accessories,2,70.81,48.95,21.86,24.48
2025-02-28,Folder,Storage,2,72.19,58.85,13.34,29.43
2025-02-28,Paper Pack,Paper,1,218.01,148.48,69.53,148.48
2025-02-28,Highlighter,Writing,2,49.33,40.71,8.62,20.36
2025-03-01,Marker,Writing,3,105.31,86.44,18.87,28.81
2025-03-01,Pencil,Writing,1,4.72,3.42,1.3,3.42
2025-03-01,Stapler,Accessories,2,362.13,266.39,95.74,133.2
2025-03-01,Folder,Storage,3,132.82,93.93,38.89,31.31
2025-03-01,Highlighter,Writing,4,61.95,46.43,15.52,11.61
2025-03-02,Pen,Writing,1,10.9,8.69,2.21,8.69
2025-03-02,Notebook,Books,1,47.18,36.34,10.84,36.34
2025-03-02,Marker,Writing,1,27.04,20.14,6.89,20.14
2025-03-02,Pencil,Writing,1,6.73,5.49,1.24,5.49
2025-03-02,Eraser,Writing,2,10.11,7.35,2.76,3.67
2025-03-02,Stapler,Accessories,2,261.43,199.73,61.7,99.86
2025-03-02,Folder,Storage,3,205.86,148.99,56.87,49.66
2025-03-02,Paper Pack,Paper,5,842.16,661.14,181.01,132.23
2025-03-02,Highlighter,Writing,3,48.95,33.95,15.0,11.32
2025-03-03,Pen,Writing,1,7.33,5.4,1.93,5.4
2025-03-03,Notebook,Books,4,352.07,239.67,112.4,59.92
2025-03-03,Marker,Writing,3,121.31,83.95,37.37,27.98
2025-03-03,Pencil,Writing,3,30.17,21.31,8.86,7.1
2025-03-03,Eraser,Writing,2,8.13,5.68,2.45,2.84
2025-03-03,Stapler,Accessories,4,593.82,439.12,154.7,109.78
2025-03-03,Tape,Accessories,1,41.44,32.21,9.23,32.21
2025-03-03,Folder,Storage,3,187.82,144.9,42.92,48.3
2025-03-03,Paper Pack,Paper,2,426.68,312.68,114.0,156.34
2025-03-03,Highlighter,Writing,2,42.81,29.67,13.14,14.84
2025-03-04,Pen,Writing,5,30.96,25.07,5.89,5.01
2025-03-04,Notebook,Books,3,179.53,121.4,58.13,40.47
2025-03-04,Eraser,Writing,3,18.12,14.45,3.67,4.82
2025-03-04,Stapler,Accessories,4,690.16,555.71,134.44,138.93
2025-03-04,Folder,Storage,3,126.12,87.32,38.8,29.11
2025-03-04,Highlighter,Writing,4,81.17,58.97,22.2,14.74
2025-03-05,Notebook,Books,3,199.07,146.17,52.9,48.72
2025-03-05,Marker,Writing,1,27.17,18.48,8.68,18.48
2025-03-05,Pencil,Writing,5,52.25,37.66,14.59,7.53
2025-03-05,Eraser,Writing,3,15.15,11.65,3.5,3.88
2025-03-05,Stapler,Accessories,5,815.62,573.4,242.23,114.68
2025-03-05,Tape,Accessories,5,148.97,115.17,33.8,23.03
2025-03-05,Folder,Storage,1,35.42,25.84,9.59,25.84
2025-03-06,Pen,Writing,5,40.37,27.77,12.6,5.55
2025-03-06,Notebook,Books,5,310.88,230.98,79.9,46.2
2025-03-06,Marker,Writing,5,179.62,129.0,50.61,25.8
2025-03-06,Eraser,Writing,3,16.5,11.39,5.1,3.8
2025-03-06,Tape,Accessories,2,97.05,77.89,19.16,38.95
2025-03-06,Folder,Storage,2,97.13,80.57,16.55,40.29
2025-03-07,Pen,Writing,4,43.21,35.8,7.41,8.95
2025-03-07,Pencil,Writing,1,7.28,5.12,2.16,5.12
2025-03-07,Tape,Accessories,5,288.13,198.48,89.65,39.7
2025-03-07,Folder,Storage,1,43.08,33.3,9.77,33.3
2025-03-07,Paper Pack,Paper,5,1069.91,751.72,318.19,150.34
2025-03-07,Highlighter,Writing,1,13.09,10.07,3.02,10.07
2025-03-08,Pen,Writing,1,13.76,9.32,4.44,9.32
2025-03-08,Notebook,Books,3,208.86,156.38,52.49,52.13
2025-03-08,Marker,Writing,4,146.26,114.76,31.5,28.69
2025-03-08,Pencil,Writing,4,30.05,20.38,9.67,5.09
2025-03-08,Eraser,Writing,3,14.07,11.69,2.38,3.9
2025-03-08,Tape,Accessories,4,159.58,116.72,42.86,29.18
2025-03-08,Paper Pack,Paper,1,186.15,143.97,42.18,143.97
2025-03-08,Highlighter,Writing,3,57.96,39.45,18.52,13.15
2025-03-09,Pen,Writing,5,53.35,40.62,12.73,8.12
2025-03-09,Marker,Writing,1,35.58,26.63,8.95,26.63
2025-03-09,Pencil,Writing,4,29.17,21.62,7.55,5.41
2025-03-09,Stapler,Accessories,5,608.07,426.43,181.65,85.29
2025-03-09,Tape,Accessories,3,130.46,98.64,31.82,32.88
2025-03-09,Folder,Storage,4,268.63,183.98,84.65,45.99
2025-03-09,Paper Pack,Paper,1,174.86,137.76,37.1,137.76
2025-03-10,Pen,Writing,1,11.28,9.0,2.28,9.0
2025-03-10,Marker,Writing,2,81.06,54.16,26.9,27.08
2025-03-10,Folder,Storage,2,62.08,50.65,11.43,25.33
2025-03-10,Paper Pack,Paper,3,569.76,389.47,180.3,129.82
2025-03-11,Pencil,Writing,2,11.66,9.63,2.03,4.82
2025-03-11,Stapler,Accessories,1,142.4,110.53,31.87,110.53
2025-03-11,Paper Pack,Paper,2,494.34,330.52,163.81,165.26
2025-03-11,Highlighter,Writing,1,23.38,17.27,6.11,17.27
2025-03-12,Marker,Writing,1,24.79,17.09,7.7,17.09
2025-03-12,Eraser,Writing,5,28.62,20.37,8.25,4.07
2025-03-12,Tape,Accessories,2,80.86,63.06,17.8,31.53
2025-03-12,Folder,Storage,1,53.01,37.44,15.58,37.44
2025-03-12,Paper Pack,Paper,5,902.97,705.47,197.5,141.09
2025-03-13,Pen,Writing,5,52.14,41.63,10.52,8.33
2025-03-13,Marker,Writing,4,140.96,106.25,34.7,26.56
2025-03-13,Pencil,Writing,3,14.44,11.77,2.67,3.92
2025-03-13,Stapler,Accessories,3,392.83,300.63,92.2,100.21
2025-03-13,Folder,Storage,3,192.83,146.2,46.64,48.73
2025-03-13,Highlighter,Writing,1,19.13,14.05,5.08,14.05
2025-03-14,Pen,Writing,4,28.37,21.03,7.34,5.26
2025-03-14,Notebook,Books,2,130.74,97.4,33.34,48.7
2025-03-14,Marker,Writing,1,29.91,21.19,8.72,21.19
2025-03-14,Pencil,Writing,1,6.12,4.23,1.89,4.23
2025-03-14,Tape,Accessories,2,57.11,44.12,12.99,22.06
2025-03-15,Notebook,Books,4,270.49,185.03,85.46,46.26
2025-03-15,Folder,Storage,1,57.96,41.17,16.79,41.17
2025-03-15,Paper Pack,Paper,2,347.71,246.31,101.4,123.15
2025-03-16,Pen,Writing,5,47.65,36.83,10.82,7.37
2025-03-16,Notebook,Books,1,44.17,35.78,8.39,35.78
2025-03-16,Marker,Writing,5,161.27,110.57,50.71,22.11
2025-03-16,Eraser,Writing,2,10.98,7.87,3.11,3.93
2025-03-16,Stapler,Accessories,4,432.68,353.76,78.92,88.44
2025-03-16,Folder,Storage,4,226.62,157.24,69.37,39.31
2025-03-16,Paper Pack,Paper,1,242.77,179.03,63.74,179.03
2025-03-16,Highlighter,Writing,4,65.17,53.98,11.19,13.49
2025-03-17,Notebook,Books,5,339.82,229.34,110.48,45.87
2025-03-17,Eraser,Writing,1,4.31,3.21,1.1,3.21
2025-03-17,Highlighter,Writing,4,107.14,84.25,22.89,21.06
2025-03-18,Pen,Writing,2,16.46,12.96,3.5,6.48
2025-03-18,Notebook,Books,1,69.55,57.31,12.24,57.31
2025-03-18,Marker,Writing,1,31.88,25.19,6.69,25.19
2025-03-18,Stapler,Accessories,3,643.28,429.78,213.5,143.26
2025-03-18,Folder,Storage,4,233.25,183.78,49.47,45.95
2025-03-18,Highlighter,Writing,3,48.04,37.94,10.1,12.65
2025-03-19,Pen,Writing,3,39.45,27.39,12.06,9.13
2025-03-19,Marker,Writing,1,43.33,28.92,14.41,28.92
2025-03-19,Pencil,Writing,2,15.03,11.15,3.87,5.58
2025-03-19,Tape,Accessories,5,166.57,122.38,44.19,24.48
2025-03-19,Folder,Storage,5,199.64,136.44,63.2,27.29
2025-03-19,Paper Pack,Paper,4,767.46,632.54,134.93,158.13
2025-03-20,Pen,Writing,1,9.51,7.75,1.75,7.75
2025-03-20,Notebook,Books,3,209.2,155.11,54.1,51.7
2025-03-20,Marker,Writing,4,97.74,66.57,31.18,16.64
2025-03-20,Eraser,Writing,5,23.71,17.21,6.5,3.44
2025-03-20,Tape,Accessories,2,90.12,61.75,28.37,30.88
2025-03-20,Paper Pack,Paper,4,1098.33,752.19,346.15,188.05
2025-03-21,Stapler,Accessories,3,591.96,441.88,150.08,147.29
2025-03-21,Folder,Storage,3,135.7,92.15,43.55,30.72
2025-03-21,Paper Pack,Paper,2,504.58,373.14,131.44,186.57
2025-03-21,Highlighter,Writing,5,143.86,96.27,47.59,19.25
2025-03-22,Notebook,Books,4,175.05,121.09,53.96,30.27
2025-03-22,Marker,Writing,3,107.96,79.25,28.72,26.42
2025-03-22,Eraser,Writing,4,14.48,10.15,4.33,2.54
2025-03-22,Tape,Accessories,4,110.23,85.43,24.8,21.36
2025-03-22,Paper Pack,Paper,2,384.41,315.77,68.64,157.89
2025-03-22,Highlighter,Writing,2,68.85,46.15,22.71,23.07
2025-03-23,Marker,Writing,5,126.57,103.77,22.8,20.75
2025-03-23,Eraser,Writing,3,9.93,8.27,1.66,2.76
2025-03-23,Stapler,Accessories,2,397.82,299.6,98.22,149.8
2025-03-23,Tape,Accessories,5,214.46,169.37,45.09,33.87
2025-03-23,Folder,Storage,4,212.1,165.45,46.65,41.36
2025-03-23,Highlighter,Writing,4,123.54,83.88,39.66,20.97
2025-03-24,Pencil,Writing,3,22.23,15.14,7.09,5.05
2025-03-24,Eraser,Writing,5,18.99,13.01,5.99,2.6
2025-03-24,Tape,Accessories,4,175.66,117.86,57.8,29.46
2025-03-24,Folder,Storage,1,33.99,27.28,6.71,27.28
2025-03-24,Paper Pack,Paper,2,502.08,361.76,140.32,180.88
2025-03-24,Highlighter,Writing,5,176.43,118.39,58.04,23.68
2025-03-25,Pen,Writing,1,6.91,5.01,1.9,5.01
2025-03-25,Marker,Writing,1,24.27,18.01,6.26,18.01
2025-03-25,Pencil,Writing,5,31.27,21.72,9.54,4.34
2025-03-25,Eraser,Writing,5,16.4,12.24,4.16,2.45
2025-03-25,Tape,Accessories,3,148.28,101.7,46.58,33.9
2025-03-25,Paper Pack,Paper,3,490.19,385.18,105.01,128.39
2025-03-26,Pen,Writing,4,46.58,34.05,12.53,8.51
2025-03-26,Notebook,Books,4,175.05,128.69,46.36,32.17
2025-03-26,Pencil,Writing,5,22.38,16.96,5.41,3.39
2025-03-26,Eraser,Writing,2,11.72,8.14,3.58,4.07
2025-03-26,Stapler,Accessories,4,485.82,349.28,136.54,87.32
2025-03-26,Folder,Storage,1,35.83,26.3,9.53,26.3
2025-03-27,Marker,Writing,3,93.4,66.8,26.6,22.27
2025-03-27,Pencil,Writing,2,18.6,13.84,4.76,6.92
2025-03-27,Eraser,Writing,4,20.55,16.78,3.77,4.19
2025-03-27,Stapler,Accessories,4,532.98,364.67,168.31,91.17
2025-03-27,Tape,Accessories,4,203.95,139.54,64.41,34.89
2025-03-27,Folder,Storage,3,105.1,87.13,17.97,29.04
2025-03-27,Highlighter,Writing,1,21.3,17.4,3.91,17.4
2025-03-28,Pen,Writing,5,32.41,26.8,5.61,5.36
2025-03-28,Notebook,Books,4,209.7,140.9,68.79,35.23
2025-03-28,Marker,Writing,4,138.83,97.73,41.1,24.43
2025-03-28,Eraser,Writing,2,12.64,9.2,3.44,4.6
2025-03-28,Stapler,Accessories,5,744.03,538.43,205.6,107.69
2025-03-28,Tape,Accessories,4,145.93,113.74,32.19,28.43
2025-03-28,Folder,Storage,5,209.88,151.33,58.55,30.27
2025-03-29,Pen,Writing,4,47.87,38.18,9.69,9.55
2025-03-29,Notebook,Books,2,103.19,70.86,32.33,35.43
2025-03-29,Marker,Writing,4,116.16,84.3,31.86,21.08
2025-03-29,Pencil,Writing,4,29.8,23.86,5.94,5.96
2025-03-29,Eraser,Writing,1,4.66,3.2,1.46,3.2
2025-03-29,Stapler,Accessories,1,166.24,134.14,32.1,134.14
2025-03-29,Folder,Storage,3,188.27,141.28,46.99,47.09
2025-03-29,Paper Pack,Paper,5,1064.48,734.8,329.68,146.96
2025-03-29,Highlighter,Writing,4,111.75,75.27,36.48,18.82
2025-03-30,Pen,Writing,4,38.12,27.59,10.53,6.9
2025-03-30,Notebook,Books,4,257.16,176.96,80.21,44.24
2025-03-30,Pencil,Writing,4,27.59,22.8,4.79,5.7
2025-03-30,Stapler,Accessories,5,881.96,727.81,154.15,145.56
2025-03-30,Tape,Accessories,5,250.41,193.39,57.02,38.68
2025-03-30,Folder,Storage,4,171.79,114.83,56.96,28.71
2025-03-30,Highlighter,Writing,2,44.3,29.69,14.61,14.85
2025-03-31,Pen,Writing,3,31.27,22.33,8.93,7.44
2025-03-31,Notebook,Books,5,254.2,171.53,82.67,34.31
2025-03-31,Pencil,Writing,5,24.32,17.35,6.97,3.47
2025-03-31,Eraser,Writing,5,31.21,24.45,6.76,4.89
2025-03-31,Folder,Storage,2,90.15,62.21,27.95,31.1
2025-04-01,Pen,Writing,1,11.85,8.45,3.4,8.45
2025-04-01,Notebook,Books,5,343.35,250.05,93.31,50.01
2025-04-01,Marker,Writing,2,72.85,59.98,12.86,29.99
2025-04-01,Eraser,Writing,5,29.78,21.74,8.04,4.35
2025-04-01,Folder,Storage,4,240.53,166.76,73.77,41.69
2025-04-02,Pen,Writing,3,26.6,20.64,5.96,6.88
2025-04-02,Marker,Writing,1,27.03,20.5,6.54,20.5
2025-04-02,Eraser,Writing,1,5.17,3.79,1.38,3.79
2025-04-02,Stapler,Accessories,2,302.86,242.19,60.68,121.09
2025-04-02,Paper Pack,Paper,5,1281.61,945.33,336.28,189.07
2025-04-02,Highlighter,Writing,5,136.87,111.03,25.83,22.21
2025-04-03,Pen,Writing,5,41.84,31.15,10.69,6.23
2025-04-03,Notebook,Books,2,139.61,102.93,36.68,51.46
2025-04-03,Pencil,Writing,5,47.68,37.45,10.23,7.49
2025-04-03,Stapler,Accessories,5,714.39,567.71,146.68,113.54
2025-04-03,Tape,Accessories,4,129.24,100.54,28.7,25.14
2025-04-03,Folder,Storage,4,199.07,153.92,45.16,38.48
2025-04-04,Pen,Writing,4,49.47,36.46,13.01,9.12
2025-04-04,Notebook,Books,4,192.46,141.77,50.69,35.44
2025-04-04,Pencil,Writing,2,11.58,7.85,3.73,3.93
2025-04-04,Eraser,Writing,1,4.24,3.12,1.12,3.12
2025-04-04,Stapler,Accessories,5,882.73,610.56,272.16,122.11
2025-04-04,Folder,Storage,1,51.56,41.17,10.39,41.17
2025-04-04,Paper Pack,Paper,2,501.52,384.0,117.52,192.0
2025-04-04,Highlighter,Writing,5,103.14,72.65,30.48,14.53
2025-04-05,Eraser,Writing,2,6.25,4.92,1.33,2.46
2025-04-05,Tape,Accessories,5,132.26,109.57,22.69,21.91
2025-04-05,Highlighter,Writing,2,38.5,27.71,10.79,13.85
2025-04-06,Pen,Writing,1,12.33,9.94,2.39,9.94
2025-04-06,Marker,Writing,5,181.34,128.82,52.52,25.76
2025-04-06,Eraser,Writing,3,14.87,11.43,3.44,3.81
2025-04-06,Folder,Storage,5,297.76,236.77,60.98,47.35
2025-04-06,Paper Pack,Paper,3,612.86,442.45,170.41,147.48
2025-04-06,Highlighter,Writing,4,63.45,44.06,19.39,11.01
2025-04-07,Pen,Writing,5,43.79,31.78,12.01,6.36
2025-04-07,Marker,Writing,2,56.02,39.99,16.03,20.0
2025-04-07,Stapler,Accessories,2,289.25,222.49,66.76,111.24
2025-04-07,Tape,Accessories,2,98.08,78.31,19.78,39.15
2025-04-07,Paper Pack,Paper,2,341.08,255.47,85.61,127.73
2025-04-08,Pen,Writing,4,53.19,39.62,13.57,9.91
2025-04-08,Notebook,Books,4,285.7,236.9,48.8,59.22
2025-04-08,Eraser,Writing,5,14.55,11.39,3.16,2.28
2025-04-08,Paper Pack,Paper,4,855.83,706.8,149.03,176.7
2025-04-08,Highlighter,Writing,2,39.76,30.25,9.51,15.13
2025-04-09,Pen,Writing,1,10.03,7.77,2.27,7.77
2025-04-09,Notebook,Books,2,130.1,96.04,34.06,48.02
2025-04-09,Pencil,Writing,4,36.65,29.03,7.62,7.26
2025-04-09,Stapler,Accessories,2,347.65,247.91,99.73,123.96
2025-04-09,Tape,Accessories,3,138.7,107.4,31.3,35.8
2025-04-09,Folder,Storage,5,159.33,127.86,31.47,25.57
2025-04-09,Paper Pack,Paper,4,981.67,663.37,318.3,165.84
2025-04-09,Highlighter,Writing,5,169.32,114.65,54.67,22.93
2025-04-10,Pen,Writing,5,48.94,32.94,16.0,6.59
2025-04-10,Pencil,Writing,5,19.41,15.65,3.76,3.13
2025-04-10,Stapler,Accessories,4,550.62,407.31,143.31,101.83
2025-04-10,Tape,Accessories,4,177.75,148.12,29.64,37.03
2025-04-10,Folder,Storage,2,102.78,82.51,20.27,41.26
2025-04-10,Paper Pack,Paper,3,513.03,406.03,107.0,135.34
2025-04-10,Highlighter,Writing,2,30.61,21.73,8.88,10.87
2025-04-11,Notebook,Books,3,138.77,96.72,42.05,32.24
2025-04-11,Marker,Writing,4,134.94,97.08,37.86,24.27
2025-04-11,Pencil,Writing,5,39.25,30.38,8.87,6.08
2025-04-11,Stapler,Accessories,2,261.38,178.3,83.08,89.15
2025-04-11,Tape,Accessories,5,183.86,135.42,48.43,27.08
2025-04-11,Folder,Storage,5,258.2,173.38,84.81,34.68
2025-04-11,Paper Pack,Paper,3,661.73,460.46,201.27,153.49
2025-04-11,Highlighter,Writing,2,35.6,25.69,9.91,12.85
2025-04-12,Pen,Writing,2,18.53,12.41,6.12,6.21
2025-04-12,Pencil,Writing,3,18.1,12.99,5.11,4.33
2025-04-12,Eraser,Writing,5,21.57,17.32,4.24,3.46
2025-04-12,Stapler,Accessories,4,725.18,502.48,222.7,125.62
2025-04-12,Paper Pack,Paper,2,568.97,382.73,186.24,191.37
2025-04-13,Pen,Writing,1,11.06,9.04,2.02,9.04
2025-04-13,Notebook,Books,2,91.62,62.31,29.32,31.15
2025-04-13,Marker,Writing,3,88.55,67.3,21.26,22.43
2025-04-13,Pencil,Writing,1,7.4,6.07,1.34,6.07
2025-04-13,Eraser,Writing,3,10.4,6.95,3.45,2.32
2025-04-13,Stapler,Accessories,5,588.49,413.31,175.19,82.66
2025-04-13,Paper Pack,Paper,1,279.3,196.52,82.78,196.52
2025-04-13,Highlighter,Writing,4,87.35,60.98,26.37,15.25
2025-04-14,Notebook,Books,3,173.47,127.09,46.37,42.36
2025-04-14,Pencil,Writing,2,7.6,6.21,1.39,3.1
2025-04-14,Stapler,Accessories,1,207.68,148.32,59.36,148.32
2025-04-14,Tape,Accessories,4,185.07,129.2,55.87,32.3
2025-04-14,Paper Pack,Paper,2,360.82,291.55,69.26,145.78
2025-04-14,Highlighter,Writing,2,52.32,38.06,14.26,19.03
2025-04-15,Pencil,Writing,1,9.68,7.64,2.04,7.64
2025-04-15,Eraser,Writing,3,14.42,10.95,3.47,3.65
